hour,minute
6,20
6,54
7,11
7,29
7,48
8,9
8,23
8,36
8,54
9,7
9,20
9,38
10,5
10,21
10,43
11,10
11,33
12,3
12,33
13,3
13,33
14,3
14,33
15,3
15,33
16,3
16,23
16,43
17,3
17,23
17,43
18,3
18,26
18,43
19,5
19,25
19,44
20,10
20,25
20,41
21,3
21,23
21,41
21,59
22,21
22,48
0,22
0,13
1,-2
1,2
1,11
