hour,minute
5,27
6,12
6,37
7,2
7,14
7,27
7,40
7,54
8,5
8,17
8,28
8,41
9,3
9,24
9,47
10,17
10,57
11,37
12,17
12,57
13,37
14,17
14,57
15,37
16,16
16,47
17,12
17,35
18,0
18,22
18,43
19,13
19,44
20,16
20,49
21,21
21,50
22,30
22,53
0,22
0,13
1,-2
1,2
1,11
