hour,minute
5,5
5,33
6,18
6,43
7,8
7,20
7,33
7,46
8,0
8,11
8,23
8,34
8,47
9,9
9,30
9,53
10,23
11,3
11,43
12,23
13,3
13,43
14,23
15,3
15,43
16,22
16,53
17,18
17,41
18,6
18,28
18,49
19,19
19,50
20,22
20,55
21,27
21,56
22,36
22,59
0,22
0,13
1,-2
1,2
1,11
