hour,minute
5,3
5,31
6,16
6,41
7,6
7,18
7,31
7,44
7,57
8,9
8,21
8,32
8,45
9,7
9,28
9,51
10,21
11,1
11,41
12,21
13,1
13,41
14,21
15,1
15,41
16,20
16,51
17,16
17,39
18,4
18,26
18,47
19,17
19,48
20,19
20,53
21,24
21,54
22,34
22,57
0,22
0,13
1,-2
1,2
1,11
