hour,minute
4,-2
4,-4
6,4
6,24
6,44
7,6
7,26
7,53
8,6
8,35
8,46
9,3
9,29
10,11
10,34
10,54
11,34
12,14
12,54
13,34
14,14
14,54
15,34
16,14
16,54
17,14
17,34
17,54
18,25
18,36
18,59
19,9
19,39
20,7
20,40
21,26
22,14
22,59
23,36
1,22
1,13
