hour,minute
5,21
6,6
6,28
6,55
7,7
7,19
7,33
7,46
7,58
8,10
8,22
8,34
8,58
9,19
9,42
10,3
10,38
11,18
11,58
12,38
13,18
13,58
14,38
15,18
15,58
16,38
17,5
17,28
17,53
18,17
18,38
19,2
19,34
20,1
20,32
21,6
21,42
22,22
22,48
0,22
0,13
1,-2
1,2
1,11
