hour,minute
5,52
6,9
6,33
6,55
7,12
7,38
7,55
8,23
8,51
9,17
9,58
10,43
12,3
14,3
16,3
16,53
17,14
17,43
18,13
18,46
19,8
19,40
20,13
21,13
22,3
22,48
1,22
1,13
1,-2
1,2
1,11
