hour,minute
5,52
6,9
6,23
6,52
7,13
7,26
7,39
7,52
8,4
8,16
8,32
8,45
9,9
9,25
9,58
10,43
12,3
14,3
16,3
16,23
16,56
17,16
17,34
17,59
18,27
18,53
19,23
20,3
20,33
21,18
22,48
1,21
1,36
1,-2
1,2
1,11
